為	làm việc,vị,vy,vi
堨	nghiệt,ái,yết
沧	thương
谛	đề,đế
緼	ôn
浑	hồn,hỗn
坊	phường,phòng
開	khai
呺	hiêu,hào,hao
峾	ngân
感	cảm,hám
尺	xích,chỉ
习	tập
巘	nghiễn,hiến
阕	khuyết
惡	ác,ố,ô
甗	nghiễn
頲	thính,đĩnh
擡	sĩ,đài
煅	đoán
斿	du,lưu
廰	thính,sảnh
陛	bệ
麛	mễ,mê,my
溺	niệu,nịch
緶	biền
疔	đinh
亢	hàng,kháng,cương,cang
啎	ngộ,ngỗ
律	luật
尫	uông
嘒	huế,uế
箵	tỉnh
蓊	ông,ống
顽	ngoan
丰	phong
罡	cương,cang
磉	tảng
从	tụng,tùng,tung,túng,thung,tòng
踉	lương,lượng
嬤	mụ,ma,mạ
鹉	vũ
趬	khiêu
跕	điệt,thiếp
狂	cuồng
欧	ẩu,âu
廂	sương,tương
阏	át,yên
洵	tuân,tuần
銤	mễ
僸	cấm
撂	lược
黭	yểm
飪	nhẫm
笓	tỳ
果	qủa
鮸	miễn
煆	hạ,hà,đoán
摯	chí
铁	thiết
孚	phu
叨	thao,đao
爫	trảo
齥	tiết
霾	mại,mai
匜	di,dị
鴘	biển
傖	sanh,thảng
蹻	kiểu,nghiêu,cược,kiều
喩	dụ
计	kế,kê
餍	yếm
禿	thốc,ngốc
晕	vựng
櫚	lữ,lư
鲆	bình
栏	lan
谄	siểm
收	thu,thâu,thú
镗	thang
覬	ký,kí
鐃	nạo,nao
呏	thăng
萏	đạm
繆	cù,mục,mâu,mậu
諲	nhân
崔	tồi,thôi
癶	bát
敱	ngai
嚅	nhu
芜	vu
孿	luyến,loan,luyên
鉹	di
煔	tiêm
紕	bỉ,phi,bì
悾	không
韫	uẩn
蝜	phụ
逄	bàng
轊	duệ,vệ
崴	uy
陧	niết
幾	ký,kí,khởi,cơ,ky,kỳ,ki,kỷ,kỉ
肺	phế,bái
礡	bạc
囿	hữu,hựu
手	thủ
丘	khiêu,khâu
掴	quắc,quách,quốc,quặc
偈	khế,kệ
蚤	tảo
釾	da,nha
嚮	hưởng,hướng
掊	phẩu,bồi,bẫu,phó,phẫu
阺	để
英	anh
淑	thục
悝	lí,lý,khôi
錙	truy,chuy,tri
盘	bàn
侗	thông,đồng,động,thống
鵻	giai,chuy
夂	truy,tri
嗅	khứu
瘉	dũ
鑐	tu,nhu
鑘	lôi,lỗi
馹	nhật
鸲	cù
蜷	quyền
妞	nữu
螌	ban
諢	hộn,ngộn
樽	tôn
娬	phú,vũ
淺	thiển,tiên
贾	giả,giá,cổ
聻	tích,nễ,tiệm
棠	đường
骿	biền
齜	thử,sài
愔	am,âm
醵	cự
輠	khỏa,qủa
縪	tất
醋	thố,tạc
媄	mỹ
匴	toán
蛉	linh
蝃	chuyết,đế
艴	phất,phật
靦	điến,điển
刁	điêu
豏	hãm
齡	linh
鼖	phần
爣	thảng,lãng
嵹	cưỡng
坁	chì,chỉ
慁	hỗn
谐	hài
皮	bì
堤	đề,đê
蹓	lựu
鄶	cối,quái
鄃	du
蔠	chung
湮	yên,nhân
脸	thiểm,liễm,kiểm
瘛	khiết,xiết
跷	khiêu,nghiêu
于	ư,vu,hu
鲭	chinh,thinh
罘	phù,phầu
饢	năng,nang,hướng,nãng
寣	hốt
佊	bỉ
鈡	chung
蹺	khiêu,nghiêu
菣	khẩn
钌	liễu
甞	thường
邃	thúy
麗	lệ,ly
鲡	ly,li
鍬	thiêu
豣	kiên
輪	luân
闖	sấm
蚶	ham
鏹	cưỡng,cường
桂	quế
鸕	lô
剣	kiếm
徙	tỷ,tỉ
綷	túy,tối
艒	mục,mạo
条	thiêu,điêu,điều
勖	úc,húc
腧	thú
啀	nhai
咒	chú
轠	lôi
攥	toản,tát
眨	trát,tráp,triếp
抵	để,chỉ
孀	sương
醺	huân
儋	đam,đảm
菆	toàn,trâu,thoàn,tưu
呣	mô
鑾	loan
柏	bách,bá
審	thẩm
燕	yến,yên
凝	ngưng
磽	khiêu,khao,nghiêu,xao
忌	kị,ký,kỵ,kí
趯	dược,địch
毷	mạo,máo
頃	khuynh,khuể,khoảnh
郉	hình
藩	phan,phiên
饧	đường,dương
拋	phao
鑣	tiêu
慓	phiếu,phiêu
狨	nhung
辀	châu,chu
荨	kiền,tầm,đàm
賴	lại
嗻	gia,cha,già,chạ
匹	mộc,thất
鱧	lễ
殳	thù
綪	thiến,tranh
咵	khoa
飢	cơ,ky
径	kính
检	kiểm
鞧	thu
黇	chiêm
櫱	nghiệt
讖	sấm,sám
靂	lịch
賍	tang
茬	tra
翶	cao,ngao
通	thông
瞭	liễu,liêu,liệu
哿	cả,khả,gia
嘿	mặc,hắc
议	nghị
胉	bác
榕	dong,dung
屡	lũ
钞	sao,sào,sáo
髐	hiêu,hao
嶧	dịch
沁	thấm,sấm
忩	thông
挏	đồng
靸	táp
騷	tao
翍	phi
梅	mai
艗	ích,dật
馴	huấn,tuần
骗	phiến,biển
萝	la
凍	đông,đống
彍	khoắc,khoách
畷	chuyết
鰿	trách
鏡	cảnh,kính
玼	thử,tỳ
囓	khiết,niết,ngão
逾	du,dũ
鑛	quáng,khoáng
濮	bộc
寕	ninh
唠	lạo,lao
绝	tuyệt
啥	xá
胧	long,lung,lông
誳	quật
珣	tuân,tuần
梓	tử
砗	xa
绕	nhiễu
隥	đặng
鳎	tháp
肻	khẳng
猫	miêu
异	di,dị
礱	lung
说	thuyết,duyệt,thoát,thuế
矞	duật,húc,quyệt
械	giới
蠒	kiển
舋	hấn
郛	phu
漆	tất,thế
屎	hy,thỉ,hi
镏	lựu,lưu
顢	man
核	hồ,hạt,hạch
箅	ty,bế
碗	oản,uyển
镀	độ
衝	xung
宊	đột,gia
蹰	trù
隴	lũng
喔	ốc,ác
騺	chí
猬	vị
焖	muộn
儲	trữ,trừ
腫	trũng,thũng
怓	nao
忱	thầm
寐	mị
贕	độc
躦	toàn
讷	nột
遒	tù,tưu
蠆	mại,sái
跽	kị,kỵ
冘	dâm
屯	truân,đồn
膎	hài
翊	dực,lạp
痚	hiêu
凓	lật
褲	khố
衲	nạp
钮	nữu
觱	tất
犮	bạt
镰	liêm
骈	biền
狊	hích
蔞	lâu,liễu
鶇	đông
弥	my,di
摛	si
屧	tiệp
捖	hoàn
鷧	ý
馅	hãm
钟	chung
莱	lai
鼚	sương,xương
姶	hấp,ấp
龠	dược,thược
靓	tịnh
靇	lung,linh
岋	ngập
幕	mán,mộ,mạn,mạc,mô
鼢	phân,phẫn
謖	tắc
絖	khoáng
欝	uất
兼	kiêm
殍	biễu,biểu
黱	đại
弔	đích,điếu
缃	tương
禸	nhựu,nhụ
晃	hoàng,hoảng
瀕	tần,tân
扳	phan,bản,ban
淮	hoài
诩	hủ,hu
菀	uất,uẩn,uyển
犂	lưu,lê
哆	xỉ,sỉ,đá
鼉	đà
塗	đồ,độ,trà
邵	thiệu
牌	bài
醽	linh
朗	lãng
哧	xích,hách
炊	xuy,xúy
鸒	tư,dư
襰	lại
孙	tôn,tốn
够	cấu,hú,câu,cú
煤	môi
鐫	tuyên
寔	tẩm,thật,thực
賡	canh
壟	lũng
夥	khỏa,khõa,hỏa
虪	thúc
項	hạng
鑫	hâm
繩	mẫn,thằng
幼	yếu,ấu
卭	cung,ngang
剽	phiểu,phiếu,phiêu
驿	dịch
魷	vưu
鏊	ngao
睐	lãi,lai
獆	hào
鵗	hy
雅	nhã,nha
脾	bễ,tì,bài,tỳ
镉	cách
繣	hoạch
帠	nghễ
婞	hạnh,hãnh
氌	lỗ
攳	tầm
訄	khao,cầu,cừu
挟	hiệp,tiệp
禩	tự
獦	cát,hát,liệp
怞	du
豒	trật,dật
㧑	huy
厉	lệ,lại
脶	loa
猰	nghiệt,khiết,trát
括	quát,hoạt
鄜	phu
踳	suyễn,xuẩn
翛	tiêu,dựu
檔	đáng,đương
峨	nga
鱅	dong,dung
氍	cù
逷	thích,địch
伃	dư
袭	tập
蒱	bồ
鋙	ngữ,ngô
鄒	trâu
琫	bổng
烜	huyễn,huyên,hủy,hối
标	tiêu,phiêu
帖	thiếp,thiệp
窌	giáo
胡	hồ
懞	mộng,mông
桁	hãng,hàng,hành
粉	phấn
杹	hóa
紏	thẩu,củ
捘	tuấn
豎	thụ
澑	lựu,lưu
夾	giáp
詾	hung
逵	qùy
璩	tuyền,cừ
民	miên,dân
踝	khỏa,hõa,hỏa,khõa
妺	muội,mạt
麑	nghê
庀	phỉ
疹	chẩn
挝	qua
媒	môi
过	qua,qúa
衋	hức,hực
亜	á,a
贻	di
櫈	đắng
隕	vẫn,viên
璣	ky,ki
进	tiến,tấn
葬	táng
觶	chí,chi
悬	huyền
肤	phu
供	cung,cúng
漷	khuếch
媿	qúy
顓	chuyên
堶	đọa,đà
栩	hú,hủ
衂	nục
跡	tích
鲨	sa
芑	khỉ
厶	khư,mỗ
祈	kỳ,kì
鉉	huyễn,huyền
蒲	bạc,bồ
駛	sử
鋌	thính,đĩnh
狚	đán
崚	lăng
涆	cán
滻	sản,ngạn
獋	hào
爟	quán
羐	dữu,dũ
篠	tiểu
眉	my,mi
诳	cuống
狣	triệu,a
溎	quế,yến
唕	tạo
洝	át,án
篧	trạc
廻	hồi
韌	nhận
驪	ly,li
直	trực,trị
麀	ưu
綉	tú
谽	hàm
艖	xoa
暉	huy
蠰	nhương,nhưỡng
鄧	đặng
摽	tiêu,phiếu,phiêu
喢	sáp
炫	huyễn
捋	liệt,loát
曨	lung,lông
兀	ngoạt,ngột,ô
枵	hiêu
抌	thẩm
叀	chuyên
鎛	bác
磠	lỗ,nạo
緡	mân,mẫn
鬮	cưu
甜	điềm
繯	hoàn,hoạn,hoán
秾	nùng
絃	huyền
跚	san
龎	bàng
棗	táo,tảo
鋝	luyệt
鑼	la
拼	banh,phanh,bính
袑	thiệu
毎	mỗi
香	hương
訾	ty,tí,ti,tý,tỳ
脠	thiên
湯	thãng,sương,thang
驸	phò,phụ
釅	nghiễm,nghiệm
裀	nhân
鍵	kiện
澓	phục
鈇	phu
羳	phiền
煖	noãn,huyên
唔	ngô,ân,mô
终	chung
偽	ngụy
逶	uy
輦	liễn
鍺	giả,đả
襀	tích
悕	hy
奄	yểm,yêm
勳	huân
秈	tiên
獗	quyết,quệ
凈	tịnh
煎	tiễn,tiên
墁	mạn
鞁	bị
虇	quyền
腻	nị,nhị
莖	hành
僿	tái
祐	hữu,hựu
癌	nham,ngai
馞	bột
垫	điếm
竈	táo
驻	trú
绺	lữu
骋	sính
嚈	áp
柬	giản
勴	lự
挶	cúc,cư
螽	chung
籐	đằng
羅	la
飂	liêu
窣	tốt
浯	ngô
蕻	hồng,hống
钚	bất
僰	bặc
奚	hề
匕	trủy,tỷ,chủy
齗	ngân
裼	tích,thế
载	tải,tái,tại
婉	uyển
邬	ổ
廋	sưu
畤	trĩ,chỉ
任	nhiệm,nhậm,nhâm
餤	đạm,đàm
剭	ốc
盜	đạo
伴	phán,bạn
鋊	dụ,dục
酽	nghiễm,nghiệm
嵷	tung
蝺	khủ
軥	câu,cù
汇	vựng,vị,hội,hối
丙	bính
林	lâm
胕	phu
欷	hy,hi
飫	ốc,ứ
蓀	tôn
鸤	thi
缸	cương,cang,ang,hang
蠼	quắc,quặc
臺	thai,đài
犇	bôn
釙	phốc,bộc
吽	oanh,ngầu,hống,ngâu,ẩu,hồng
点	điểm
虙	phục,mật
觊	ký,kí
孼	nghiệt
霼	hý
贮	trữ
毀	hủy
概	khái,hị
襯	sấn
恺	khải
隊	trụy,toại,đội
蟂	kiêu
龆	điều
挾	hiệp,cáp,tiệp
迪	địch
蜌	bệ
俒	hoàn
啃	khẳng
愳	cụ
诸	gia,chư
嬛	hoàn,quỳnh,huyên
喴	uy
婠	oan,oát,loan
溇	lâu
胾	chí,truy
籠	lộng,lung
偩	phụ
卸	tá
稷	tắc
僄	tiêu,phiếu,phiêu
鷩	tế
戵	cù
俎	trở
鴽	như
慖	quắc
堋	bằng
蹴	xúc,thúc
楔	kiết,tiết
塃	hoang
枭	kiêu
鮄	phất
砣	đà
殉	tuận,tuẫn
霽	tế,tễ
栔	khế
杂	tạp
肮	hàng,khảng
眍	khu
贸	mậu
䀹	tiếp
膐	lữ
蓄	súc
帋	chỉ
曆	lịch
绤	khích
笼	lộng,lung
歲	tuế
耨	nậu
凴	bằng
嗛	khiểm,khiêm,hiềm,khiếp,hàm
貯	trữ
誡	giới
効	hiệu
檍	ức
既	ký,kí
育	dục
搿	cách
杀	sái,sát,tát
婥	xước,sước
橧	tằng,tăng
鱭	tễ
涩	sáp
访	phỏng,phóng
豭	gia
奔	phẫn,bôn
麓	lộc
谨	cẩn
覅	yếu,vật
愖	đam,thâm,kham
哑	ách,á,a,nha
戉	mậu,việt
対	đối
胠	khư
兔	thỏ,thố
庫	khố
爂	tiêu
淏	hạo
浛	hàm
傀	qủy,khổi,khôi,ổi
歊	hiêu
檗	phách,nghiệt,bách
著	trứ,trước,trữ
恁	nhẫm,nhậm
彳	sách,xích
俣	vũ
纝	luy
檋	cúc
钩	câu
銴	phản
煙	yên
稔	nhẫm,nẫm
泠	linh
濒	tần,tân
棓	bang,bạng,bội
牻	mang
褒	bao,bầu
麂	kỉ,kỷ
峒	đỗng,động,đồng
顆	khỏa,khõa
羮	canh
缹	phữu
遙	dao,diêu
鹯	chiên
莢	giáp
禊	hệ,hễ
玗	vu
韔	xướng,sướng
婺	vụ
輭	nhuyễn,nhuyến
慉	súc
譸	trù
窎	điếu
澍	thụ,chú
揥	đế,thế
闔	hạp
葐	phần
脂	chi,chỉ
諾	nặc
藇	tự
汾	phần
鹗	ngạc
诫	giới
羵	phần
忿	phẫn
紊	vặn,vấn
撰	soạn,chuyển,toán,tuyển
蚀	thực
怍	tạc
譿	tuệ,huệ
烶	diễn
幎	mạc,mịch
痒	dưỡng,dương,dạng
闷	muộn,bí
薐	lăng
繘	quất
稺	trĩ
弆	khí,cử
雹	bạo,bạc
罴	bi
仳	tỷ,tỳ
蠪	long
燊	sân
芤	khưu
驌	túc
镶	tương
篚	phỉ
淇	kỳ,kì
騈	biền
勷	nhương
忳	truân,đồn,chuân
柩	cữu
螨	mãn
掽	bánh,bính
乙	ất
段	đoạn,đoán,đoàn
廿	nhập,chấp,trấp
彐	tuyết,ký,kệ
讇	siểm
赏	thưởng
篛	nhược
靣	diện
唄	bại,bối,bái
楛	khổ,hộ
輻	bức,phúc
筮	phệ,thệ
彦	ngạn
趣	xúc,thú
藘	lư
瞤	thuấn,nhuần,nhuận,thuần
曶	hốt
喘	suyễn
贄	chí,trập
轏	sạn
庢	chí,trất
豦	cứ
箏	tranh
縌	nghịch
敠	uyết,xuyết
系	hệ
莴	oa
趁	sấn
荤	huân
灵	linh
槔	cao
歇	hiết,yết,tiết
控	khoang,khống
渊	uyên
密	mật
侨	kiều
声	thanh
屈	khuất,quật
籧	cừ,cử
鍍	độ
徯	hề,khê,hễ
緬	miến,diến,miễn
礁	tiêu,tiều
骞	khiên,kiển
杧	mang
旁	bàng,phang,banh,bạng
鈥	hỏa
嫇	minh
苈	lịch
啷	lang
迍	truân
筆	bút
暤	hạo
姸	nghiên
皷	cổ
懨	yêm
耤	tá,tịch
壛	diêm
瀸	sàm,tiêm
寻	tầm
冞	my
馤	ái
骢	thông
髧	đạm,đãm,đảm
鯤	côn
苟	cẩu
离	lệ,ly,li
鑪	lư,lô
畎	quyến
馒	man
怦	phanh
格	các,cách
做	tố
搅	giảo
魅	mị
撘	đáp
钁	quắc,quyết,quặc
伝	truyền,truyện
鞮	đê
甃	trứu
蹢	đích,trịch
縣	huyện,huyền
轹	lịch
扜	hu
摒	tính,bính
篪	trì
腐	hủ,phụ
縩	sái
胤	dận
褼	tiên
揩	giai,khai
樾	việt
伀	chung
爞	trùng
卨	tiết
呃	ách
齁	câu,hâu,hầu
袽	như
搭	tháp,đáp
蛸	sao,tiêu
偟	hoàng
憇	khế
袏	tá
沺	điền
緒	tự
缫	tao,tảo,sào
喆	đề,triết
瀰	my,nhị,di
恼	não
凤	phụng,phượng
笾	biên
勐	mãnh
獳	nậu
暠	hạo,cảo
氈	chiên
摐	song
珲	huy,hồn
韨	phất
圂	hộn,hỗn,hoạn
簨	soạn,tuẩn
土	độ,thổ,đỗ
芘	tý,tỷ,ti,tỉ
鲧	cổn
倡	xướng,xương
醇	thuần
癇	giản,nhàn
蜃	thận
豶	phần
构	cấu
掀	hiên,hân
氢	khinh
蒐	sưu
瓏	lung
崬	đông,đống
陬	tưu
腽	ốt,ột
舱	thương
鼈	biết,miết
嫁	giá
碱	kiềm,giảm,dảm,kiểm,thiêm
孟	mãng,mạnh
脛	hĩnh
鴣	cô
叡	duệ
仿	phỏng,phảng
隫	phần
佢	cự,cừ,cử
郴	sâm
氫	khinh
戚	xúc,thích
快	khoái
鬵	tiềm,tầm,tẩm
接	tiếp
辮	biện
瀙	sấn
喙	huế,uế
縐	sứu,trứu
祟	trúy,túy,chúy
卹	tuất
壬	nhậm,nhâm
堥	mâu
蕋	nhị
凄	thê
皤	bà
芄	hoàn
鸦	nha
攷	khảo
悈	giới,cức
騉	côn
杻	sứu,nữu,sửu
峣	nghiêu
緥	bảo
舊	cựu
黉	huỳnh
汲	cấp
嵫	tư
稝	banh
魁	khôi
躘	lung,lúng,lũng
鮟	án
钂	đảng
啇	đích
諧	hài
嗸	ngao
憧	sung,tráng,xung
蒹	kiêm
垚	nghiêu
畝	mẫu
質	chí,chất
萁	ky,ki,kỳ
虫	trùng,hủy
䔿	tỗn
圌	thùy,chùy,thuyên,đoàn
倅	thối,toái,tốt
甾	chuy,tai,tri
蚦	nhiêm,thiệm
綅	xâm,tiên,tiêm
黌	huỳnh
嬈	niêu,liểu,niểu,nhiêu,nhiễu
毵	tam
鲠	ngạnh
诈	trá
寖	tẩm
檾	khoảnh
歐	ẩu,âu
倩	thính,thiến,sai,sảnh
盤	bàn
咪	mễ,mị
軟	nhuyễn
蠷	cù
龞	miết
茅	mao
鹓	uyên
喲	ước,yêu
娲	oa
岑	sầm
霸	phách,bá
扙	trượng
嗳	ái,ai
臜	trâm,châm
炖	đôn,đốn,đồn
殔	dị
叛	phán,bạn
鲲	côn
訂	đính
蟷	đương
跖	chích,thác
貜	cước,quặc
朔	sóc
衷	trung,chung,trúng
廒	ngao
卝	khoáng,quán
諶	thầm,kham
呴	cấu,câu,hấu,ha,hú,hống,hu,hứa
滁	trừ
繾	khiển
赘	chuế
偭	miến,mạn,diện
經	kinh
刓	ngoan
解	giới,giái,giải
肚	đỗ
盻	phán,hễ
痰	đàm
揬	đột
提	đề,để,thì
飣	đính
耗	mao,háo,mạo,hao
淞	tùng
肩	khiên,kiên
圯	di
勊	khắc
翀	trưng,xung
㒿	ly
开	khai
犓	xu
闆	bản
輤	thiến
蜬	hàm
湘	sương,tương
蹹	tháp
慚	tàm
靑	thanh
滦	loan
䅟	sam
淘	đào
筚	tất
煉	luyện
逡	thuân
袌	bão,bào
恫	thông,đỗng,động,đồng
埄	canh,đãng,phủng,bổng
琢	trác
瞡	quy
翓	hiệt
芙	phù
萇	trường,trành
楦	huyên,tuyên
犫	thù,sưu
钯	bả,ba
糔	tưu
欛	bá
奇	kỳ,kì,cơ
覵	kiến,gián
厹	nhữu,nhu,cầu
绳	thằng
銚	diêu,điệu,dao,điêu,điều
圉	ngữ,ngự
稣	tô
嶁	lũ
衮	cổn
鑌	tấn,tân
翫	ngoạn
苎	trữ
岷	mân,dân
骖	tham
褊	biền,biển
顚	điên
夊	truy,tuy
鄟	chuyên
覰	thứ
稌	đồ
堡	bảo
阶	giai
咑	đát
顗	nghĩ,ỷ
噒	liên
湜	thục,thực
殒	vẫn
蹩	biết,biệt
饾	đậu
坡	pha,ba
憘	hy,hỷ
杆	can,hãn
隷	lệ
龍	long,sủng,lũng
摭	chích,trích
郫	bì
辫	biện
趿	tát,táp
関	quan
艞	thiếu,diệu
筁	khúc
呝	ách
鞅	ưởng,ương
鷄	kê
癰	ung
梗	cánh,ngạnh,cạnh
鳳	phụng,phượng
豳	bân
詍	duệ
评	bình
俨	nghiễm
唐	đường
痐	hồi
舵	đà
胜	tinh,thăng,thắng
鶅	chuy
群	quần
瓷	từ
级	cấp
儚	mộng,manh
占	chiêm,chiếm
瘯	thốc,tộc
考	khảo
褃	khẳng
掌	chưởng
樁	thung,trang,chang
鰤	sư
拗	nữu,ao,áo,húc,ảo
倫	luân
輟	chuyết,xuyết
貹	sính
鮮	tiển,tiên
肠	tràng,trường
轜	nhi
睿	duệ
顣	xúc,túc
偘	khản
霢	mạch
綽	xước
嘍	lâu
癐	uy
咨	tư
瑘	da,gia
赁	nhẫm,nhấm
鎘	lịch,cách
娩	vãn,phiền,miễn
歍	ô
降	giáng,hàng
厎	để,chi,chỉ
綌	khích
棰	trùy,chủy
卬	ngang
僛	khi
嵕	tông
攡	ly
豊	lễ,phong
摹	mô
瘩	đáp
錤	ky,cơ
携	huê
輾	niễn,niển,triển
尠	tiển
日	nhựt,nhật
祓	phất
偨	sai
儭	thân,sấn
儁	tuấn
啡	phỉ,phôi,phi,phê
雩	vụ,vu
钛	thái
薕	liêm
矘	thảng
堝	oa,qua
騮	lưu
蒕	uân
铷	như
噪	táo
詼	khôi
蛋	đản
花	hoa
迁	thiên
俛	miễn,phủ
玟	mân,văn,mai
氿	qũy,cửu
顜	giảng
鰔	cảm
舘	quán
麰	mâu
菪	đãng
暖	noãn,huyên
沆	hãng,hàng
騭	chất
鍩	nặc
幱	lan
砾	lịch
曟	thần
咥	điệt,hí,hý
冃	mạo
徵	trủy,trừng,trưng,chủy
厮	tư
毉	y
縲	luy
机	kì,ky,ki,kỷ,cơ
楅	bức,phúc
鄦	hứa
鞔	muộn,man
蔓	mạn,man
喀	ca,khách
硋	ngại
耊	điệt
谔	ngạc
夠	cấu,hú,câu,cú
污	ố,ô
呫	chiếp,triệp,triệt,thiếp,xiếp
哏	ngận
墆	điệt,đệ
緦	ty,tư,ti
頍	khởi,qũy,khuể
憶	ức
臭	xú,khứu
穗	tuệ
赭	giả
墬	địa
撮	toát
絁	thi
擥	lãm
琴	cầm
陈	trận,trần
镑	bàng,bảng
鶋	cư
緍	mân
怊	siêu
葸	tỷ,tỉ
规	quy
鼏	mịch
窭	lũ,cũ
楝	luyện
鍶	tư,tung
蝳	đại
莞	hoàn,quản,hoản,hoán
轳	lư,lô
熇	hác,hốc,khảo
猕	my,mi,di
幷	bính,bình,tịnh,tinh,tính
袿	khuê
遯	độn
剃	thế
沉	trầm,thẩm,trấm
貳	nhị
煞	sát
衣	y,ý
慸	đế,sái,sại
铿	khanh
总	tổng
敃	phân,mân,mẫn
飖	dao,diêu
襚	tụy,toại,tùy
繡	tú
姒	tỷ,tự,tỉ
剤	tễ
烛	chúc
邳	phi,bi
驏	sạn
豫	tạ,dự
埤	tỳ,bì,bi
霧	vụ
駖	nghiệm
钜	cự
滲	sâm,sấm
俖	bội
鎁	da
火	hỏa
彜	di
来	lãi,lai
寳	bửu,bảo
鳱	hạn
藤	đằng
歴	lịch
螺	loa
嘉	gia
營	doanh,dinh
壮	tráng,trang
睏	khốn
析	tích
偓	ốc,ác
武	vũ,võ
慤	khác,xác
呕	hú,ẩu,âu
璉	liễn
鲜	tiển,tiên
洄	hồi
詧	sát
硁	khanh
磛	sàm
橕	sanh,xanh
梹	tân
凸	đột
詘	khuất,truất
矸	ngạn,can
怳	hoảng
鷽	hạc
憋	biết,biệt,miết
輅	nhạ,lộ,hạch
侦	trinh
军	quân
胑	chi
嘁	thích,táp
嫒	ái
侰	quẫn
齑	tê
绮	khỉ,ỷ
瘧	ngược
屹	ngật
蟩	quyết
荡	đãng,đảng
卵	noãn,côn
薢	giải
牀	sàng
慹	triệp,chấp,niệp
惺	tinh,tỉnh
弁	biền,biện,bàn
膛	thang
瘰	loa,lõa,lỗi
劊	khoái,quái
北	bắc,bối,bội
儌	kiêu
価	giá
蝡	nhuyễn
跧	thuyên
涷	đông
韊	lan
填	trấn,điền,trần
幓	sam,sâm
浄	tịnh
鄙	bỉ
豽	nột
趠	trác
庑	vũ,vu
絓	quai,quái
菎	côn
鄋	sưu
盗	đạo
饦	thác
栀	chi
洎	kỵ,kịp
唴	khảng
祥	tường
騅	chuy
戭	diễn,dẫn
颕	dĩnh
鬷	tông
憤	phẫn,phấn
涐	nga
鴄	thất
耇	cẩu,củ
酤	cô
沫	mạt
斑	ban
嘰	cơ,ki,ky,kỷ
乐	nhạo,lạc,nhạc
辤	từ
鞳	tháp
毈	đoạn
圓	viên
韄	hoạch
櫅	tễ
谎	hoang
沌	độn
革	cức,cách
鎮	trấn
强	cưỡng,cường
樹	thụ,thọ
帊	phạ
烦	phiền
醻	thù,đạo,trù
与	dữ,dự,dư
哪	na,nả,ná
兗	duyện,duyễn
须	tu
劎	kiếm
埽	tảo
崆	khoang,không
娸	kỳ,khi
翣	sáp
鴯	nhi
諩	phả,phổ
湥	thốc
仭	nhận
瀢	đỗi
廆	hối
鉧	mẫu
咏	vịnh
操	thao,tháo
兾	ký,kí
竜	long
鼱	tinh
渃	nhược
椈	cúc
騢	hà
搓	sai,tha
茦	sách
绫	lăng
藈	qùy
籬	ly,li
玠	giới
䌷	trừu
狆	trung,trọng
傳	truyền,truyện,truyến
澇	lão,lạo,lao
軺	dao,diêu
佤	ngõa
櫗	miết
犴	ngạn,ngan,hãn
铻	ngữ,ngô
進	tiến,tấn
兎	thố,thỏ
加	gia
坭	nê
灺	đả,tã
拣	giản,luyến
抏	ngoạn,ngoan
布	bố
广	quáng,nghiễm,quảng,yểm
梵	phạn,phạm
蹡	thương
墱	đặng
睄	sảo
狝	tiển
軔	nhận
丱	quán
檁	lẫm
旾	xuân
灰	hôi,khôi
誑	cuống
鳗	man
袴	khố
炳	bỉnh,bính
趲	toản
饰	sức
恰	cáp,kháp
湒	tập
禾	hòa
斳	cần
眔	đạp
隔	cách
荞	kiều
銑	tiển,tiên
顑	kham
咲	tiếu
猇	khiêu,hao,hổ
鹣	kiêm
蜺	nghê
昵	nật,nễ,nặc,chức
隶	đãi,lệ
蔴	ma
錐	chùy,trùy
涽	hôn
眎	thị
踅	tuyệt,sế,tiết,thệ
殇	thương
兹	ty,tư,từ
谉	thẩm
尌	thụ
菉	lục
锭	đĩnh
儥	dục,độc
猎	liệp,lạp
瑊	giam
晣	triết
枌	phần
齪	xúc,sức
粺	mại,bại
褶	triệp,tập,điệp
栘	di
苻	phù
堌	cố,cổ
鈤	nhật
绥	thỏa,nhuy,tuy
澥	giải,hải
敕	sắc
界	giới
獩	uế
弘	hoằng
被	bí,phi,bị
翕	hấp
斂	liệm,liễm
弎	tam
蟲	trùng
燉	đôn,đốn
酉	dậu
噣	trụ,trú,trác
缛	nhục
萵	oa
戛	kiết
濂	liêm
捓	da,gia
詈	lị
蘢	long,lung
靚	tịnh,tĩnh
墉	dong,dung
怅	trướng
吹	xuy,xúy
侷	cục
悦	duyệt
葽	yêu
楞	lăng
话	thoại
懭	khoáng
茭	giao,hảo,kích
铩	sát
犚	úy
锘	nặc
削	tước,sảo
饮	ấm,ẩm
軆	thể
㺿	cơ,di
灒	tán
村	thôn
俍	lương,lang
蘄	kỳ,kì,cần
驁	ngạo,ngao
尔	nhĩ
陸	lục
霅	sáp,tráp,hiệp
巋	khuy,vị
侈	xỉ
炮	pháo,bào
潇	tiêu
葯	dược,ước
蓣	dự
崁	khám
廳	thính,sảnh,thinh
弄	lộng
观	quan,quán
蚵	hà
嬃	tu
媸	xi,xuy,si
佈	bố
蹧	tao
觰	xa
嵂	luật
屣	xí,tỷ,tỉ
続	tục
讏	vệ
猊	nghê
靽	bạn,bán
霚	vụ
冩	tả
蠏	giải
举	cử
暎	ánh
鰝	hạo
杠	cống,giang
赤	thích,xích
